,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary,Date_published
0,Cupcake,indoor_queer,22075171,01 Jan 2020,Explicit,F/F,No Archive Warnings Apply,Complete Work,English,"1,115",1,0,113,9,4054,"No Archive Warnings Apply, Hermione Granger/Ginny Weasley, Hermione Granger, Ginny Weasley, Shameless Smut, No Plot, Minister for Magic Hermione Granger, Quidditch Player Ginny Weasley, Office Sex, Sweet",\n      Ginny surprises her wife at work.\n,2020-01-01
1,The Sinner\xe2\x80\x99s Redemption,oldenuf2nb,21632368,01 Jan 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"55,432",25,350,2016,419,32692,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Harry Potter, Draco Malfoy, Hermione Granger, Ron Weasley, Scorpius Malfoy, Albus Severus Potter, Lily Luna Potter, Rose Weasley, Hugo Weasley, Getting Together, Redeemed Draco Malfoy, Living as a Muggle Draco Malfoy, Post-War, Healer Hermione Granger, 25 Days 2019, 25 Days of Harry and Draco, Slow Build Draco Malfoy/Harry Potter, Divorced Harry Potter & Ginny Weasley, Snark, punitive laws, Nosy children, Nosy Co-workers","\n      When Headmaster, Harry Potter, loses his Potions Professor - is he willing to fight the system to employ the one person he knows will excel in the position?\n",2019-12-01
2,Memory is a fleeting moment,faemalenomad,22075246,01 Jan 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"9,887",4,6,48,5,981,"No Archive Warnings Apply, Sirius Black/Lily Luna Potter, Sirius Black, James Potter, Remus Lupin, Lily Evans, Lily Luna Potter, Peter Pettigrew, Fleamont Potter, Euphemia Potter, Romance, Mystery, Time Travel, 70\xe2\x80\x99s kitsch, Roller Discos, First War, Mentions of Death, Canon compliant for now","\n      In hindsight, Sirius should have known something was off about the new student. But her carefree attitude, her off-kilter sense of humor and her intense, knowing eyes drew him in. Mostly he\'d wanted to find a rebound for James, but she became a part of their lives. And left just as easily as she had arrived\n",2020-01-01
3,What You\'ll Sorely Miss,CocosCocoaPuffsAreNotForSale,22075135,01 Jan 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,080",1,1,215,18,3566,"No Archive Warnings Apply, Draco Malfoy/Reader, Draco Malfoy/ Y/n Potter, Draco Malfoy/Potter!Reader, Draco Malfoy/Potter Reader, Reader, You, Draco Malfoy, Harry Potter, Potter!Reader - Character, Hermione Granger, Ron Weasley, George Weasley, Fred Weasley, Albus Dumbledore, Minerva McGonagall, Sirius Black, Fluff, Triwizard Tournament, Slight Canon Divergence, Potter!Reader, AU Where Sirius Never Went To Azkaban, Worried Draco Malfoy, Worried Harry Potter, Swearing, Godfather Sirius, Sirius Raised Harry and Reader, Harry Potter's Twin Sister - Freeform, Harry's Sister!Reader","\n      When Harry\xe2\x80\x99s sister disappears the night before the second Triwizard task, Harry\xe2\x80\x99s not the only one who\xe2\x80\x99s worried about her.\n",2020-01-01
4,Hidden Walls,ViridianStarVeil (ViridianVeil),21990796,01 Jan 2020,Teen And Up Audiences,"M/M, F/M, Multi",Choose Not To Use Archive Warnings,Work in Progress,English,"11,787",4,40,441,97,6417,"Creator Chose Not To Use Archive Warnings, James Potter/Lily Evans Potter/Severus Snape, Lucius Malfoy/Narcissa Black Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Severus Snape, Sirius Black, Remus Lupin, Albus Dumbledore, Draco Malfoy, Lucius Malfoy, Narcissa Black Malfoy, Blaise Zabini, Theodore Nott, Vincent Crabbe, Gregory Goyle, Petunia Evans Dursley, Tom Riddle | Voldemort, Pansy Parkinson, Daphne Greengrass, Luna Lovegood, Good Draco Malfoy, Good Severus Snape, Autistic Harry Potter, Hermione Granger Bashing, Ron Weasley Bashing, Albus Dumbledore Bashing, Light side bashing, Good Dark Side, obviously the dursleys also get bashed, slight mcgonagall bashing for not intervening","\n      Harry Potter is getting close to the end of his third year and is starting to feel like there is something going on. \nWhy does he not feel comfortable in Gryffindor? Why does he have these needs to move \'oddly\'? Why are these hidden parts about himself coming out now?\nBut most importantly, why does Severus care about him?\n",2019-12-27
5,Cynicus,iimplicitt,22073674,02 Jan 2020,Mature,F/M,Graphic Depictions Of Violence,Work in Progress,English,"15,733",11,7,34,10,738,"Graphic Depictions Of Violence, Tom Riddle/Original Female Character(s), Tom Riddle | Voldemort/Original Female Character(s), Abraxas Malfoy & Tom Riddle, Tom Riddle, Tom Riddle | Voldemort, Original Female Character(s), Abraxas Malfoy, Abraxas Malfoy's Father, Lestrange Family (Harry Potter), Malfoy Family (Harry Potter), Rosier Family (Harry Potter), Parkinson Family (Harry Potter), Original Male Character(s), Gellert Grindelwald, Albus Dumbledore, Falling In Love, Love, Love/Hate, Forbidden Love, Slow Romance, Slow Burn, Angst and Hurt/Comfort, Angst, Angst and Romance, Eventual Romance, Tragic Romance, Action, Magic, Victorian, Alternate Universe - Victorian, Victorian Attitudes, Misogyny, Violence, Suggestive Themes, Adult Content, Eventual Sex, Pureblood Politics (Harry Potter), Arranged Marriage, Wizarding Wars (Harry Potter), Wizarding World (Harry Potter)","\n      Tom Riddle is a restless Dark Lord in the making, fresh out of Hogwarts and ambitious to make a name for himself. However, in order to move up the hierarchy in the wizarding world he needs to make connections- leading him to spending more time at Malfoy Manor. Which inevitably causes him to spend time with Liliana Malfoy, the precocious younger sister of Abraxas, learning the ways of high society herself. The relationship between Tom and Liliana changes, however, when she matures and proves her intellect, but the possibility of something lasting seems unlikely since he doesn\'t believe in the fictitious ideal called love.[victorian au]\n",2020-01-01
6,Down a Peg,frogfarm,22074886,01 Jan 2020,Explicit,F/F,Rape/Non-Con,Complete Work,English,864,1,2,88,7,5305,"Rape/Non-Con, Hermione Granger/Pansy Parkinson, Hermione Granger, Pansy Parkinson, Community: femslash_kink, Reunions, Reunion Sex, Anal Sex, Reunited and It Feels So Good","\n      After all these years, Hermione has Pansy right where she lives. And more.\nPost-series. Hermione POV.\n",2020-01-01
7,Secret Moments (In a Crowded Room),hidetheteaspoons,22074667,01 Jan 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,895",1,8,140,7,2315,"Creator Chose Not To Use Archive Warnings, Tina Goldstein/Newt Scamander, Tina Goldstein & Newt Scamander, Newt Scamander & Theseus Scamander, Jacob Kowalski & Newt Scamander, Newt Scamander, Tina Goldstein, Theseus Scamander, Jacob Kowalski, Newt Scamander's Niffler, Queenie Goldstein (Mentioned), Yusef Kama (mentioned), Nagini (mentioned), Nicolas Flamel (mentioned), establishing a relationship, Secret Relationship, Mutual Pining, First Kiss, Romantic Fluff, Domestic Fluff, happy Newtina, Lots of kissing, and touching, and a sexy red dress!, I could write a NSFW sequel for this, Tell me if I should?, It might already be written, post-CoG","\n      Newt and Tina have kept their relationship private for months following the events of Paris. When an invitation to a Ministry ball arrives, Newt must decide whether or not to share with the world that Tina is his one and only. Lots of pining, fluff, and kissing. \nWritten for @katisfania for the 2019 Newtina Gift Exchange!\n",2020-01-01
8,Every New Sensation,Ladderofyears,22074604,01 Jan 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,605",1,6,412,64,9121,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Harry Potter, Mpreg, Anxiety About Body Changes, Supportive Harry Potter, Pregnant Draco Malfoy, Pregnant Sex, Nipple Play, Nipple Licking, Anal Fingering, Orgasm, Porn with Feelings","\n      Draco is feeling a little anxious about rapid body changes in early pregnancy. Harry shows his that whatever else might change, his desire remains a constant.\n",2020-01-01
9,The Life and Times of Scorpius Malfoy,TheaKnightley,21483262,01 Jan 2020,Teen And Up Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"41,346",11,20,129,14,3966,"No Archive Warnings Apply, Scorpius Malfoy/Rose Weasley, Hermione Granger/Ron Weasley, Harry Potter/Ginny Weasley, Teddy Lupin/Victoire Weasley, James Sirius Potter/Original Female Character(s), Albus Severus Potter/Original Female Character(s), Fleur Delacour/Bill Weasley, Angelina Johnson/George Weasley, Astoria Greengrass/Draco Malfoy, Fred Weasley II/Original Female Character(s), Scorpius Malfoy, Rose Weasley, Hermione Granger, Draco Malfoy, Ron Weasley, Harry Potter, Ginny Weasley, James Sirius Potter, Albus Severus Potter, Fred Weasley II, Roxanne Weasley, Hugo Weasley, Teddy Lupin, Victoire Weasley, Dominique Weasley, Bill Weasley, Fleur Delacour, Molly Weasley, Arthur Weasley, Lily Luna Potter, Astoria Greengrass, Friends to Lovers, Friendship, Protective Siblings, Quidditch, Romantic Friendship, Not Harry Potter and the Cursed Child Compliant, Harry Potter Epilogue Compliant, Slow Burn, Eventual Romance, Comedy, Humor, Romantic Comedy, Fun, Weasley Family-centric (Harry Potter), Written a while ago, moved from ff","\n      Scorpius Malfoy loves his father, he really does, but he grows tired of living in Draco\'s shadow, something his best mate Albus Potter can relate to. And then there is the magnetic and irritating Rose Weasley...Hogwarts and post-HogwartsPart of my ""Life and Times"" series I\'m moving over from another site.\n",2019-11-18
